id,text,avg word length,word count,syllable per word,total syllables,avg sentence length,sentence count,reading time
11,"After 103 weeks on the New York Times bestseller list and with four million copies of The Kite Runner shipped, Khaled Hosseini returns with a beautiful, riveting, and haunting novel that confirms his place as one of the most important literary writers today.   Born a generation apart and with very different ideas about love and family, Mariam and Laila are two women brought jarringly together by war, by loss and by fate. As they endure the ever escalating dangers around them-in their home as well as in the streets of Kabul-they come to form a bond that makes them both sisters and mother-daughter to each other, and that will ultimately alter the course not just of their own lives but of the next generation. With heart-wrenching power and suspense, Hosseini shows how a woman's love for her family can move her to shocking and heroic acts of self-sacrifice, and that in the end it is love, or even the memory of love, that is often the key to survival. A stunning accomplishment, A Thousand Splendid Suns is a haunting, heartbreaking, compelling story of an unforgiving time, an unlikely friendship, and an indestructible love",4,193,0.39267015706806285,75,38,5,75.5
12,"A New York Times bestseller―the outrageous exploits of one of this century's greatest scientific minds and a legendary American original. Richard Feynman, winner of the Nobel Prize in physics, thrived on outrageous adventures. Here he recounts in his inimitable voice his experience trading ideas on atomic physics with Einstein and Bohr and ideas on gambling with Nick the Greek; cracking the uncrackable safes guarding the most deeply held nuclear secrets; accompanying a ballet on his bongo drums; painting a naked female toreador. In short, here is Feynman's life in all its eccentric―a combustible mixture of high intelligence, unlimited curiosity, and raging chutzpah. Black-and-white photographs throughout.",5,105,0.3173076923076923,33,20,5,43.5
13,"nine year old Satou just closed his eyes for a brief nap at work, but when he opened them, he found himself in a game-like alternate world. Fortunately, thanks to some excellent luck, his level is high, and his wallet is full. After successfully saving the elf girl Mia from the evil Zen, he's set off to accompany her back to her village. Satou is enjoying his break from work and touring a brand-new world, but such a journey couldn't possibly end without a little adventure, right?",4,87,0.4166666666666667,35,21,4,23.1
14,"length exploration of the most exciting development in modern physics, the theory of 10-dimensional space. The theory of hyperspace, which Michio Kaku pioneered, may be the leading candidate for the Theory of Everything that Einstein spent the remaining years of his life searching for.",5,44,0.35555555555555557,16,22,2,14.4
15,"In 1922, just four years after the war to end all wars, an unknown Austrian then living in Bavaria planned a pamphlet to be called Settling Accounts. In it he intended to attack the ineffectiveness of the dominant political parties in Germany which were opposed to the new National Socialists (Nazis). In November 1923, Adolf Hitler was jailed for the abortive Munich Beer Hall putsch along with men willing and able to assist him with his writing. With the help of these collaborators, chief among them Rudolf Hess, the pamphlet became a book. Settling Accounts became Mein Kampf, an unparalleled example of muddled economics and history, appalling bigotry, and an intense self-glorification of Adolf Hitler as the true founder and builder of the National Socialist movement. It was written in hate and it contained a blueprint for violent bloodshed. When Mein Kampf was published in 1925, it was a failure. In 1926 a second volume appeared - it was no more successful than the first. People either laughed at it or ignored it. They were wrong to do so. As Hitler's power increased, pressure was put on all party members to buy the book. Gradually this pressure was extended to all elements of the German population. Soon Mein Kampf was even being passed out to newlywed couples as a gift. Ironically, and frighteningly, by the time Hitler came to power on January 30, 1933, what has been considered by many to be the most satanic book ever written was running neck and neck with the Bible at the top of the German bestseller lists. In his excellent introduction to this definitive American translation of Mein Kampf, Konrad Heiden writes: ""For years Mein Kampf stood as proof of the blindness and complacency of the world. For in its pages Hitler announced -- long before he came to power -- a program of blood and terror in a self-revelation of such overwhelming frankness that few among its readers had the courage to believe it ... That such a man could go so far toward realizing his ambitions, and -- above all -- could find millions of willing tools and helpers; that is a phenomenon the world will ponder for centuries to come."" We would be wrong in thinking that such a program, such a man, and such appalling consequences could not reappear in our world of the present. We cannot permit our selves the luxury of forgetting the tragedy of World War II or the man who, more than any other, fostered it. Mein Kampf must be read and constantly remembered as a specimen of evil demagoguery that people whenever men grow tired of thinking and acting for themselves. Mein Kampf is a blueprint for the age of chaos. It transcends in historical importance any other book of the present generation. In his translation Ralph Manheim has taken particular care to give an exact English equivalent of Hitler's highly individual, and often awkward style, including his occasional grammatical errors. We believe this book should stand as the complete, final, and definitive English version of Hitler's own story of his life, his political philosophy, and his thwarted plans for world domination. Translated by Ralph Manheim with an introduction by Konrad Heiden. A compilation of Hitler's most famous prison writings of 1923--the bible of National Socialism and the blueprint for the Third Reich.",4,559,0.4269870609981516,231,21,25,153.1
16,"""It took me a long time and most of the world to learn what I know about love and fate and the choices we make, but the heart of it came to me in an instant, while I was chained to a wall and being tortured.""  So begins this epic, mesmerizing first novel set in the underworld of contemporary Bombay. Shantaram is narrated by Lin, an escaped convict with a false passport who flees maximum security prison in Australia for the teeming streets of a city where he can disappear.  Accompanied by his guide and faithful friend, Prabaker, the two enter Bombay's hidden society of beggars and gangsters, prostitutes and holy men, soldiers and actors, and Indians and exiles from other countries, who seek in this remarkable place what they cannot find elsewhere.  As a hunted man without a home, family, or identity, Lin searches for love and meaning while running a clinic in one of the city's poorest slums, and serving his apprenticeship in the dark arts of the Bombay mafia. The search leads him to war, prison torture, murder, and a series of enigmatic and bloody betrayals. The keys to unlock the mysteries and intrigues that bind Lin are held by two people. The first is Khader Khan: mafia godfather, criminal-philosopher-saint, and mentor to Lin in the underworld of the Golden City. The second is Karla: elusive, dangerous, and beautiful, whose passions are driven by secrets that torment her and yet give her a terrible power.  Burning slums and five-star hotels, romantic love and prison agonies, criminal wars and Bollywood films, spiritual gurus and mujaheddin guerrillas---this huge novel has the world of human experience in its reach, and a passionate love for India at its heart. Based on the life of the author, it is by any measure the debut of an extraordinary voice in literature.",4,308,0.44666666666666666,134,30,10,90.5
17,"The Mahabharta endures as the great epic of India. While Jaya is the story of the Pandavas, told from the perspective of the victors of Kurukshetra, Ajaya is the tale of the Kauravas, who were decimated to the last man. From the pen of the author who gave voice to Ravana in the national bestseller, ASURA, comes the riveting narrative which compels us to question the truth behind the Mahabharata. THE DARK AGE OF KALI IS RISING and every man and woman must choose between duty and conscience, honour and shame, life and death... o The Pandavas, banished to the forest following the disastrous games of dice, return to Hastinapura. o Draupadi has vowed not to bind her hair till she washes it in the blood of the Kauravas. o Karna must choose between loyalty and gratitude, friend and Guru. o Aswathama undertakes a perilous mission to the mountains of Gandhara, in search of the Evil One. o Kunti must decide between her firstborn and her other sons. O Guru Drona has to stand with either his favourite disciple or his beloved son. o Balarama, having failed to convince his brother about the adharma of violence, walks the streets of Bharatavarsha, spreading the message of peace. o Ekalavya is called to make the ultimate sacrifice to uphold a woman s honour. o Jara, the beggar, sings of Krishna s love while his blind dog, Dharma, follows. o Shakuni can almost see the realization of his dream to destroy India. As the Pandavas stake their claim to the Hastinapura throne, the Kaurava Crown Prince, Suyodhana, rises to challenge Krishna. As great minds debate dharma and adharma, power hungry men prepare for an apocalyptic war. The women, highborn and humble, helplessly watch the unfolding disaster with deep foreboding. And greedy merchants and unscrupulous priests lie in wait like vultures. Both sides know that beyond the agony and carnage the winner will take all. But even as gods conspire and men s destinies unfold, a far greater truth awaits.",4,336,0.428125,137,16,20,99.9
18,"High above the sky stands Swarga, paradise, abode of the gods. Still above is Vaikuntha, heaven, abode of God. The doorkeepers of Vaikuntha are the twins, Jaya and Vijaya, both whose names mean victory . One keeps you in Swarga; the other raises you into Vaikuntha. In Vaikuntha there is bliss forever, in Swarga there is pleasure for only as long as you deserve. What is the difference between Jaya and Vijaya? Solve this puzzle and you will solve the mystery of the Mahabharata. In this enthralling retelling of India s greatest epic, the Mahabharata, originally known as Jaya, Devdutt Pattanaik seamlessly weaves into a single narrative plots from the Sanskrit classic as well as its many folk and regional variants, including the Pandavani of Chattisgarh, Gondhal of Maharashtra, Terukkuttu of Tamil Nadu, and Yakshagana of Karnataka. Richly illustrated with over 250 line drawings by the author, the 108 chapters abound with little-known details such as the names of the hundred Kauravas, the worship of Draupadi as a goddess in Tamil Nadu, the stories of Astika, Madhavi, Jaimini, Aravan and Barbareek, the Mahabharata version of the Shakuntalam and the Ramayana, and the dating of the war based on astronomical data. With clarity and simplicity, the tales in this elegant volume reveal the eternal relevance of the Mahabharata, the complex and disturbing meditation on the human condition that has shaped Indian thought for over 3000 years.",5,235,0.3879310344827586,90,25,9,68.8
19,"The epic tale of victory and defeatƒ The story of the Ramayana had been told innumerable times. The enthralling story of Rama, the incarnation of God, who slew Ravana, the evil demon of darkness, is known to every Indian. And in the pages of history, as always, it is the version told by the victors, that lives on. The voice of the vanquished remains lost in silence. But what if Ravana and his people had a different story to tell? The story of the Ravanayana had never been told. Asura is the epic tale of the vanquished Asura people, a story that has been cherished by the oppressed outcastes of India for 3000 years. Until now, no Asura has dared to tell the tale. But perhaps the time has come for the dead and the defeated to speak. ñFor thousands of years, I have been vilified and my death is celebrated year after year in every corner of India. Why? Was it because I challenged the Gods for the sake of my daughter? Was it because I freed a race from the yoke of caste-based Deva rule? You have heard the victor's tale, the Ramayana. Now hear the Ravanayana, for I am Ravana, the Asura, and my story is the tale of the vanquished.î ñI am a non-entity ? invisible, powerless and negligible. No epics will ever be written about me. I have suffered both Ravana and Rama ? the hero and the villain or the villain and the hero. When the stories of great men are told, my voice maybe too feeble to be heard. Yet, spare me a moment and hear my story, for I am Bhadra, the Asura, and my life is the tale of the loser.î The ancient Asura empire lay shattered into many warring petty kingdoms reeling under the heel of the Devas. In desperation, the Asuras look up to a young saviour ? Ravana. Believing that a better world awaits them under Ravana, common men like Bhadra decide to follow the young leader. With a will of iron and a fiery ambition to succeed, Ravana leads his people from victory to victory and carves out a vast empire from the Devas. But even when Ravana succeeds spectacularly, the poor Asuras find that nothing much has changed for them. It is when that Ravana, by one action, changes the history of the world.",4,398,0.4645669291338583,177,19,20,114.6
20,"Surpanakha, Ravan's famous sister. Ugly and untamed, brutal and brazen-this is often how she is commonly perceived. One whose nose was sliced off by an angry Lakshman and the one who started a war. But was she really just a perpetrator of war? Or was she a victim? Was she 'Lanka's princess'? Or was she the reason behind its destruction? Surpanakha, which means the woman 'as hard as nails', was born as Meenakshi-the one with beautiful, fish-shaped eyes. She is often the most misunderstood character in the Ramayana. Growing up in the shadows of her brothers, who were destined to win wars, fame and prestige, she, instead, charted out a path filled with misery and revenge. Accused of manipulating events between Ram and Ravan, which culminated into a bloody war and annihilation of her family, Kavita Kané's Lanka's Princess makes us see the familiar events unfold from the eyes of a woman more hated than hateful. . .",4,158,0.46405228758169936,71,17,9,44.2
21,"Murder mystery, family saga, love story, and financial intrigue combine into one satisfyingly complex and entertainingly atmospheric novel, the first in Stieg Larsson's thrilling Millenium series featuring Lisbeth Salander. Look for The Girl Who Takes an Eye for an Eye featuring Lisbeth Salander, coming September 12th.   Harriet Vanger, a scion of one of Sweden's wealthiest families disappeared over forty years ago. All these years later, her aged uncle continues to seek the truth. He hires Mikael Blomkvist, a crusading journalist recently trapped by a libel conviction, to investigate. He is aided by the pierced and tattooed punk prodigy Lisbeth Salander. Together they tap into a vein of unfathomable iniquity and astonishing corruption.",5,112,0.32407407407407407,35,15,7,55.8
22,"A landmark volume in science writing by one of the great minds of our time, Stephen Hawking’s book explores such profound questions as: How did the universe begin—and what made its start possible? Does time always flow forward? Is the universe unending—or are there boundaries? Are there other dimensions in space? What will happen when it all ends?  Told in language we all can understand, A Brief History of Time plunges into the exotic realms of black holes and quarks, of antimatter and “arrows of time,” of the big bang and a bigger God—where the possibilities are wondrous and unexpected. With exciting images and profound imagination, Stephen Hawking brings us closer to the ultimate secrets at the very heart of creation.",4,121,0.3884297520661157,47,60,2,58.4
23,"From the award-winning translators of Anna Karenina and The Brothers Karamazov comes this magnificent new translation of Tolstoy's masterwork.  War and Peace broadly focuses on Napoleon’s invasion of Russia in 1812 and follows three of the most well-known characters in literature: Pierre Bezukhov, the illegitimate son of a count who is fighting for his inheritance and yearning for spiritual fulfillment; Prince Andrei Bolkonsky, who leaves his family behind to fight in the war against Napoleon; and Natasha Rostov, the beautiful young daughter of a nobleman who intrigues both men.  A s Napoleon’s army invades, Tolstoy brilliantly follows characters from diverse backgrounds—peasants and nobility, civilians and soldiers—as they struggle with the problems unique to their era, their history, and their culture. And as the novel progresses, these characters transcend their specificity, becoming some of the most moving—and human—figures in world literature.",5,140,0.34507042253521125,49,35,4,75.3
24,"Virtualization is a skill that most IT or security pros take for granted. The sheer number of choices and requirements can be a daunting challenge to face for beginners and veterans alike. With this book, you'll learn how to build a robust, customizable virtual environments suitable for both a personal home lab, as well as a dedicated office training environment. You will learn how to: - Understand the mechanics of virtualization and how they influence the design of your lab - Build an extensive baseline lab environment on any one of five commonly used hypervisors (VMware vSphere Hypervisor, VMware Fusion, VMware Workstation, Oracle Virtualbox, and Microsoft Client Hyper-V) - Harden your lab environment against VM escapes and other security threats - Configure the pfSense firewall distribution to provide security, segmentation, and network services to your virtual lab - Deploy either Snort or Suricata open-source IDS platforms in IPS mode to further enhance the flexibility, segmentation and security of your lab network - Deploy Splunk as a log management solution for your lab - Reconfigure the provided baseline lab environment to better suit your individual needs Easy to follow steps and illustrations provide detailed, comprehensive guidance as you build your custom-tailored lab. Both IT and security professionals need practice environments to better hone their craft. Learn how to build and maintain your own with Building Flexible Virtual Machine Labs",5,228,0.3761467889908257,82,36,6,90.8
25,"Kama Sutra For Beginners, Discover The Best Essential Kama Sutra Love Making Techniques.  3rd EDITION  Do you want to bring an amplified sense of passion into the bedroom ?  Do you want to know how you and your loved one can find immense pleasure by exploring one another’s desires ?  This e-book is essential for all couples, and will provide both men and women with the knowledge needed to foster a loving intimate relationship at any point in their lives.  In this book, you’ll learn:  Techniques designed to stimulate and satisfy your lover The benefits of Kamasutra, like how it can make you age better and live longer How to employ kissing techniques during your lovemaking sessions How you can kiss the body in order to get your partner even more aroused About how to encourage communication into your love making How to experiment with different approaches, and bringing incredible passion into your relationship A variety of sexual positions And much, much more.. So if you want to have a loving intimate relationship, then read further!  Buy your copy today!   Start Reading Speed Timer",4,184,0.37222222222222223,67,45,4,71.5
26,"All 12 volumes of Death Note in one monstrously large edition!  This hefty omnibus combines all 2,400 pages of the megahit thriller into a single massive tome, presented in a beautiful silver slipcase. A perfect collectible conversation piece and a must-have for Death Note fans. Also contains an epilogue chapter never before seen in English!  Light Yagami is an ace student with great prospects—and he's bored out of his mind. But all that changes when he finds the Death Note, a notebook dropped by a rogue Shinigami death god. Any human whose name is written in the notebook dies, and now Light has vowed to use the power of the Death Note to rid the world of evil. But when criminals begin dropping dead, the authorities send the legendary detective L to track down the killer. With L hot on his heels, will Light lose sight of his noble goal…or his life?   Start Reading Speed Timer",4,156,0.39072847682119205,59,21,7,71.2
27,"Humanity is saved. But its troubles are just beginning. To achieve their extraordinary triumph over the invading Metigen armada, humanity put aside its myriad of political and social conflicts and united against a common foe intent on annihilating civilization. In victory, unparalleled peace and prosperity are theirs for the taking - if they can keep hold of them. When the secrets behind the daring plan that defeated the Metigens begin to escape the shadows, the very people who won the war find their lives in danger. Facing antisynthetic terrorists who want them dead, power-hungry politicians who want them chained, and a rapidly dwindling number of people they can trust, the Prevos - human/synthetic meldings who shouldn't exist - must take their fate into their own hands - and, with it, the fates of everyone. Fifty-one Portals. Fifty-one Universes. One mysterious gateway connecting them all. In Aurora Rising, humanity discovered it was not alone - but few grasp the true magnitude of the discovery. Intent on learning the purpose behind the Metigens' elaborate multiverse network, Alex Solovy, Caleb Marano, and Valkyrie embark on a gripping journey through the network's portals, each one leading to a universe not their own. In a mosaic of spaces inhabited by fantastical aliens and worlds both beautiful and deadly, they will be forced to question everything they thought they knew, including the nature of life itself. It is a time of accelerating technological change and shifting allegiances as the old rules fall away and the old balance of power is upended. A new world rises - one of unshackled AIs, indestructible starships, ethereal quantum spaces, and potent new weapons - and the race is on to determine who will control its future.",5,286,0.39492753623188404,109,19,14,146.2
28,"Before the multi-million, runaway bestseller The Da Vinci Code, Dan Brown set his razor-sharp research and storytelling skills on the most powerful intelligence organization on earth--the National Security Agency (NSA)--in this thrilling novel, Digital Fortress.  When the National Security Agency’s invincible code-breaking machine encounters a mysterious code it cannot break, the agency calls its head cryptographer, Susan Fletcher, a brilliant, beautiful mathematician. What she uncovers sends shock waves through the corridors of power. The NSA is being held hostage…not by guns or bombs but by a code so complex that if released would cripple U.S. intelligence.  Caught in an accelerating tempest of secrecy and lies, Fletcher battles to save the agency she believes in. Betrayed on all sides, she finds herself fighting not only for her country but for her life. It is a battle for survival―a crucial bid to destroy a creation of inconceivable genius that threatens to obliterate the balance of world power…for all time.  This edition of the book is the deluxe, tall rack mass market paperback.",5,170,0.36257309941520466,62,19,9,83.1
29,"A Sexy Romance… Holly Hillbay is a love-burned private investigator who relishes chasing down cheating scumbags. Hot on the trail of another two-timing spouse, Holly goes into stealth mode to find out if the owner of Books on the Beach, Wes Brockman, is slipping between the covers with her client’s adulterous wife. Joining the book club, she soon realizes that Wes isn’t her philandering Casanova, nor is he a mild-mannered book store owner. He’s way too dark, hunky and mysterious, pinging Holly’s interest… and lust. Holly’s heart is on ice, but her body is all for a little beach romance as long as it doesn’t interfere with the job. That works great until Wes becomes her job, her lover and maybe her destruction. An Incriminating Murder… Wes’s bookstore is a new chapter in his life, and he’s closed the book on his old one. When Holly shows up in his club breathing snarky attitude and raw sexiness he can’t keep his hands off her. The woman ignites more than his lust, she makes him feel alive—which is saying something since he’s been technically dead for years. It’s not until a book club member is murdered in his store that Wes learns Holly’s an uncover P.I. But now he needs her more than ever and hires her to find the killer… and because he can’t bear to let her go. Wes is falling hard for the sexy sleuth while guarding his dangerous secret that could get people he loves—including Holly—killed. The Lethal Consequences… Secrets and betrayals explode, and Holly discovers that falling in love with a bookstore owner can be devastating…and deadly. ** This title is a reissue of a 2007 release.",4,281,0.40794223826714804,113,19,14,130.8
